Source,Target,Type,Id,Label,Weight,Candidate
1001170974,1066357067,Directed,2180,,3,Pezeshkian
1001170974,1068763227,Directed,2181,,2,Pezeshkian
1001170974,1069291200,Directed,2182,,15,Pezeshkian
1001170974,1069800146,Directed,2183,,2,Pezeshkian
1001170974,1076720298,Directed,2184,,4,Pezeshkian
1001170974,1080296471,Directed,2185,,3,Pezeshkian
1001170974,1093410959,Directed,2187,,2,Pezeshkian
1001170974,1106755204,Directed,2190,,2,Pezeshkian
1001170974,1106958042,Directed,2191,,2,Pezeshkian
1001170974,1115604022,Directed,2192,,4,Pezeshkian
1001170974,1126629649,Directed,2196,,2,Pezeshkian
1001170974,1127390421,Directed,2197,,4,Pezeshkian
1001170974,1189566498,Directed,2208,,4,Pezeshkian
1001170974,1275084443,Directed,2220,,3,Pezeshkian
1001170974,1346732056,Directed,2230,,2,Pezeshkian
1001170974,1368575513,Directed,2231,,2,Pezeshkian
1001170974,1374693748,Directed,2232,,3,Pezeshkian
1001170974,1442209897,Directed,2237,,2,Pezeshkian
1001170974,1499559503,Directed,2241,,2,Pezeshkian
1001170974,1532857131,Directed,2243,,4,Pezeshkian
1001170974,1543497060,Directed,2245,,2,Pezeshkian
1001170974,1859547507,Directed,2254,,3,Pezeshkian
1001170974,1990273594,Directed,2258,,2,Pezeshkian
1001171790,1868911783,Directed,2263,,2,Pezeshkian
1001184495,1065754240,Directed,2271,,2,Pezeshkian
1001184495,1070161307,Directed,2273,,3,Pezeshkian
1001186775,1001976122,Directed,2288,,21,Pezeshkian
1001186775,1004576149,Directed,2295,,3,Pezeshkian
1001186775,1006939659,Directed,2299,,5,Pezeshkian
1001186775,1007007698,Directed,2300,,2,Pezeshkian
1001186775,1009307515,Directed,2303,,5,Pezeshkian
1001186775,1026820992,Directed,2307,,5,Pezeshkian
1001186775,1058667053,Directed,2315,,2,Pezeshkian
1001186775,1068763227,Directed,2318,,2,Pezeshkian
1001186775,1078485710,Directed,2321,,2,Pezeshkian
1001186775,1083639254,Directed,2324,,2,Pezeshkian
1001186775,1107871117,Directed,2326,,2,Pezeshkian
1001186775,1154252621,Directed,2330,,2,Pezeshkian
1001186775,1275084443,Directed,2336,,3,Pezeshkian
1001186775,1324213724,Directed,2342,,2,Pezeshkian
1001186775,1486701342,Directed,2347,,3,Pezeshkian
1001186775,1574898694,Directed,2350,,2,Pezeshkian
1001186775,1665481037,Directed,2353,,2,Pezeshkian
1001186775,1706939331,Directed,2354,,2,Pezeshkian
1001186775,1979153372,Directed,2360,,2,Pezeshkian
1001186775,2034333114,Directed,2361,,2,Pezeshkian
1001197344,1142191532,Directed,2362,,2,Pezeshkian
1001225345,1001976122,Directed,2366,,8,Pezeshkian
1001225345,1002739327,Directed,2368,,2,Pezeshkian
1001225345,1005665139,Directed,2370,,2,Pezeshkian
1001225345,1006227643,Directed,2371,,2,Pezeshkian
1001225345,1006939659,Directed,2372,,3,Pezeshkian
1001262688,1116567042,Directed,2393,,3,Pezeshkian
1001271558,1002843824,Directed,2400,,2,Pezeshkian
1001271558,1005280116,Directed,2402,,10,Pezeshkian
1001271558,1058667053,Directed,2405,,4,Pezeshkian
1001271558,1083859091,Directed,2410,,2,Pezeshkian
1001271558,1127390421,Directed,2412,,2,Pezeshkian
1001287540,1005280116,Directed,2452,,3,Pezeshkian
1001287540,1006298883,Directed,2456,,3,Pezeshkian
1001287540,1006914438,Directed,2457,,2,Pezeshkian
1001287540,1027676885,Directed,2462,,2,Pezeshkian
1001287540,1069291200,Directed,2464,,8,Pezeshkian
1001287540,1127390421,Directed,2471,,3,Pezeshkian
1001287540,1368575513,Directed,2481,,2,Pezeshkian
1001287540,1532857131,Directed,2485,,5,Pezeshkian
1001304081,1005280116,Directed,2496,,3,Pezeshkian
1001304081,1022315395,Directed,2499,,3,Pezeshkian
1001304081,1069291200,Directed,2501,,3,Pezeshkian
1001304081,1080531584,Directed,2502,,2,Pezeshkian
1001304081,1118521939,Directed,2504,,2,Pezeshkian
1001304081,1454361599,Directed,2516,,4,Pezeshkian
1001304081,1532857131,Directed,2518,,2,Pezeshkian
1001311748,1005186042,Directed,2522,,3,Pezeshkian
1001311748,1779082644,Directed,2525,,2,Pezeshkian
1001326498,1001621611,Directed,2529,,2,Pezeshkian
1001326498,1001976122,Directed,2531,,6,Pezeshkian
1001326498,1002739327,Directed,2534,,3,Pezeshkian
1001326498,1005665139,Directed,2542,,2,Pezeshkian
1001326498,1006212930,Directed,2545,,25,Pezeshkian
1001326498,1006263686,Directed,2547,,11,Pezeshkian
1001326498,1006939659,Directed,2549,,14,Pezeshkian
1001326498,1007007698,Directed,2550,,2,Pezeshkian
1001326498,1023547140,Directed,2556,,2,Pezeshkian
1001326498,1056597437,Directed,2561,,3,Pezeshkian
1001326498,1066357067,Directed,2564,,18,Pezeshkian
1001326498,1115604022,Directed,2575,,6,Pezeshkian
1001326498,1130400707,Directed,2576,,3,Pezeshkian
1001326498,1136428033,Directed,2577,,8,Pezeshkian
1001326498,1149353449,Directed,2580,,3,Pezeshkian
1001326498,1225263095,Directed,2588,,2,Pezeshkian
1001326498,1239664681,Directed,2589,,3,Pezeshkian
1001326498,1251718534,Directed,2592,,7,Pezeshkian
1001326498,1277347123,Directed,2597,,2,Pezeshkian
1001326498,1280384273,Directed,2598,,7,Pezeshkian
1001326498,1280672547,Directed,2599,,5,Pezeshkian
1001326498,1297666994,Directed,2602,,3,Pezeshkian
1001326498,1370747331,Directed,2615,,3,Pezeshkian
1001326498,1385613647,Directed,2617,,3,Pezeshkian
1001326498,1407302874,Directed,2619,,2,Pezeshkian
1001326498,1447037192,Directed,2622,,8,Pezeshkian
1001326498,1458458663,Directed,2625,,3,Pezeshkian
1001326498,1494467680,Directed,2629,,2,Pezeshkian
1001326498,1560926123,Directed,2633,,3,Pezeshkian
1001326498,1641478744,Directed,2640,,5,Pezeshkian
1001326498,1667154792,Directed,2642,,4,Pezeshkian
1001326498,1788285577,Directed,2645,,5,Pezeshkian
1001326498,1867673679,Directed,2649,,5,Pezeshkian
1001326498,1966286808,Directed,2653,,3,Pezeshkian
1001326498,1975163027,Directed,2654,,2,Pezeshkian
1001329261,1001976122,Directed,2661,,4,Pezeshkian
1001329261,1002739327,Directed,2663,,2,Pezeshkian
